"","POP_ID","SPP","SYS_NM","faz_acro","maz_acro","CU_name","CU_findex","Area","IsIndicator","year","escapement","popid.link"
"1",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1950,NA,"131"
"2",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1951,NA,"131"
"3",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1952,NA,"131"
"4",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1953,NA,"131"
"5",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1954,NA,"131"
"6",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1955,NA,"131"
"7",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1956,NA,"131"
"8",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1957,NA,"131"
"9",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1958,NA,"131"
"10",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1959,NA,"131"
"11",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1960,NA,"131"
"12",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1961,NA,"131"
"13",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1962,NA,"131"
"14",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1963,NA,"131"
"15",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1964,NA,"131"
"16",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1965,NA,"131"
"17",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1966,NA,"131"
"18",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1967,NA,"131"
"19",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1968,NA,"131"
"20",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1969,NA,"131"
"21",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1970,NA,"131"
"22",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1971,NA,"131"
"23",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1972,NA,"131"
"24",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1973,NA,"131"
"25",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1974,NA,"131"
"26",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1975,NA,"131"
"27",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1976,NA,"131"
"28",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1977,NA,"131"
"29",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1978,NA,"131"
"30",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1979,NA,"131"
"31",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1980,NA,"131"
"32",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1981,NA,"131"
"33",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1982,NA,"131"
"34",131,"CN","CLEMENS CREEK","WVI","WVI","West Vancouver Island-South_FA_0.x","CK-031","23","N",1983,NA,"131"
